"id","area","feature","actor","user_story","expected_behavior","code_reference","test_method","initial_status","latest_status","errors_found","fix_notes","retest_status","evidence"
"US-014","Chat","RAG streaming answer","Visitor","As a visitor I want the assistant to show research activity and stream an answer.","POST /api/chat returns SSE status/activity/sources/token/done, UI shows activity, final bubble is not empty, and loading stops.","fiaq-app/src/lib/stores/fiaq-chat.ts; fiaq-app/src/routes/api/chat/+server.ts","API curl plus Browser: send real question and wait for action buttons.","tested","pass","No LLM error after previous env boot fix; test detector initially missed uppercase source label.","No app change needed for source detection; browser retest saw sources and no error.","pass","qa-artifacts/2026-06-24-ui-user-stories/retest-chat-scroll-mobile.png"
"US-015","Chat","Source chips","Visitor","As a visitor I want verified sources below the answer instead of raw URLs in the text.","Sources render as compact chips with title, host and external-link affordance; long titles truncate; invalid source URLs do not render broken links.","fiaq-app/src/lib/components/chat/MessageBubble.svelte; fiaq-app/src/lib/components/chat/SourceChip.svelte; fiaq-app/src/lib/utils/assistantText.ts","Browser: inspect answer with sources; code review invalid URL branch.","tested","pass","Source chips visible and not covered after scroll fix.","No source component change needed in this pass.","pass","qa-artifacts/2026-06-24-ui-user-stories/retest-chat-scroll-mobile.png"
"US-016","Chat","Copy answer","Visitor","As a visitor I want to copy an answer.","Copy button copies clean assistant text, falls back when Clipboard API is unavailable, and shows copied/error status without moving layout.","fiaq-app/src/lib/components/chat/MessageBubble.svelte","Browser: click copy and assert copied status.","tested","pass","Not executed in first pass beyond verifying button visibility.","Added aria-live to action status for copy/export feedback; browser retest saw Copiado status.","pass","qa-artifacts/2026-06-24-ui-user-stories/deep-flow-results.json"
"US-017","Chat","Export selected exchange","Visitor","As a visitor I want to download the selected question/answer exchange.","Export menu offers PDF, Excel, Markdown, JSON and TXT; each export includes the previous user question, selected answer and sources only.","fiaq-app/src/lib/components/chat/MessageBubble.svelte; fiaq-app/src/lib/utils/conversationExport.ts","Browser: export menu plus JSON download content assertion.","tested","pass","Menu opened and options were present; first pass did not assert file content.","Added aria-live for export status; browser retest downloaded JSON and verified messages.","pass","qa-artifacts/2026-06-24-ui-user-stories/deep-flow-results.json"
"US-018","Chat","Feedback positive","Visitor","As a visitor I want to mark an answer as helpful.","Helpful feedback updates the selected answer, persists to /api/chat/feedback, thanks the user, and sends web-sourced answers to curation.","fiaq-app/src/lib/components/chat/MessageBubble.svelte; fiaq-app/src/lib/stores/fiaq-chat.ts; fiaq-app/src/routes/api/chat/feedback/+server.ts","Browser/API: click helpful after answer; inspect UI status and network result.","tested","pass","Feedback menu visibility tested in first pass; helpful click/persistence not executed then.","Added aria-live to feedback/action status; browser retest saw Ajudou and Obrigado pelo feedback.","pass","qa-artifacts/2026-06-24-ui-user-stories/feedback-helpful-results.json"
"US-019","Chat","Feedback negative and web complement","Visitor","As a visitor I want to request a better answer when one is not useful.","Unhelpful feedback marks the answer, persists feedback, then streams a complementary /api/chat/web response with web source mode.","fiaq-app/src/lib/stores/fiaq-chat.ts; fiaq-app/src/routes/api/chat/web/+server.ts","Browser/API: click unhelpful after answer; wait for second assistant response.","tested","pass","Negative feedback/web complement not executed in first pass.","No code change in this pass; browser retest marked unhelpful and received a second response without failure.","pass","qa-artifacts/2026-06-24-ui-user-stories/feedback-unhelpful-results.json"
"US-020","Chat","Conversation persistence","Returning visitor","As a returning visitor I want the temporary chat to remain during the browser session.","Stable non-empty messages are saved to sessionStorage, reload restores them, and clear removes them.","fiaq-app/src/lib/stores/fiaq-chat.ts","Browser: send messages, reload, clear, inspect restored state.","tested","pass","Persistence reload not executed in first pass.","No code change in this pass; browser retest confirmed question remained after reload.","pass","qa-artifacts/2026-06-24-ui-user-stories/deep-flow-results.json"
"US-021","Chat","Import conversation","Visitor","As a visitor I want to import a previously exported JSON conversation.","Import accepts JSON conversation files, validates messages/sources, confirms replacement when needed, replaces conversation and reports invalid files clearly.","fiaq-app/src/lib/components/chat/ConversationActions.vue; fiaq-app/src/lib/utils/conversationExport.ts","Browser: import valid and invalid JSON fixture.","tested","pass","Static scan found hidden file input missing label/name; upload flow not executed in first pass.","Added file input name and aria-label; browser retest confirmed invalid error and valid import.","pass","qa-artifacts/2026-06-24-ui-user-stories/deep-flow-results.json"
"US-022","Chat","Clear conversation","Visitor","As a visitor I want to clear the current conversation safely.","Clear is disabled when there is no meaningful content, asks for confirmation, clears messages/sessionStorage and shows temporary status.","fiaq-app/src/lib/components/chat/ConversationActions.vue; fiaq-app/src/lib/stores/fiaq-chat.ts","Browser: clear empty and non-empty conversations.","tested","pass","Clear flow not executed in first pass.","Added aria-live to conversation status; browser retest accepted confirmation and saw empty state.","pass","qa-artifacts/2026-06-24-ui-user-stories/deep-flow-results.json"
"US-023","Chat","Jump to latest response","Visitor","As a visitor reading an older message I want to jump back to the latest response.","When the user scrolls away from the bottom, a button appears above the composer, does not cover input, and scrolls smoothly to the bottom.","fiaq-app/src/lib/components/chat/ChatWindow.vue","Browser: create long answer, scroll up, click jump button.","tested","pass","Message action buttons were hidden under composer and dedicated jump flow was not executed in first pass.","Added aria-label and explicit transition; fixed bottom scroll alignment. Browser retest confirmed jump visible and bottom distance 0.","pass","qa-artifacts/2026-06-24-ui-user-stories/deep-flow-results.json; qa-artifacts/2026-06-24-ui-user-stories/retest-chat-scroll-mobile.png"
"US-024","Admin","Auth configuration guard","Admin","As an admin I want a clear setup message when Supabase auth is not configured.","When public Supabase env vars are missing, /admin shows a clear configuration message instead of broken login UI.","fiaq-app/src/routes/admin/+page.svelte; fiaq-app/src/lib/config/public.ts","Browser with current env; code review fallback branch.","tested","pass","Local env lacks public Supabase config, so login form is intentionally hidden and setup message appears.","No functional change; guard behavior confirmed.","pass","qa-artifacts/2026-06-24-ui-user-stories/flow-admin-login-mobile.png"
"US-025","Admin","Login and logout","Admin","As an admin I want to sign in, reveal/hide password and sign out.","Email/password fields have labels/names/autocomplete, eye button toggles visibility, submit shows busy state, logout clears session and admin UI.","fiaq-app/src/routes/admin/+page.svelte; fiaq-app/src/lib/utils/supabaseAuth.ts","Browser with mocked Supabase auth and mocked admin APIs because local VITE_SUPABASE_* is absent.","tested","pass_mocked_ui","Login form not reachable in original local env because VITE_SUPABASE_URL/VITE_SUPABASE_ANON_KEY are not configured.","Added labels, names, autocomplete and spellcheck hints; mocked browser retest confirmed reveal, login, authorized UI and logout.","pass_mocked_ui","qa-artifacts/2026-06-24-ui-user-stories/admin-mocked-results.json"
"US-026","Admin","Invite password setup","Invited admin","As an invited admin I want to set a password from the invite callback.","Invite session in URL hash shows password form, validates min length, eye toggles visibility, saves password and validates admin access.","fiaq-app/src/routes/admin/+page.svelte; fiaq-app/src/lib/utils/supabaseAuth.ts","Browser with mocked Supabase user update and mocked admin APIs.","tested","pass_mocked_ui","Invite hash flow needed an isolated browser context; first reused-SPA attempt stayed in prior admin state.","Added new-password name/autocomplete and label; isolated mocked retest confirmed password reveal and authorized UI after saving.","pass_mocked_ui","qa-artifacts/2026-06-24-ui-user-stories/admin-invite-mocked-results.json"
"US-027","Admin","Candidate queue tabs","Admin","As an admin I want to view pending, approved and rejected candidate answers.","After auth, tabs show totals, loading and empty states are clear, status filter fetches correct API query and list updates in real time.","fiaq-app/src/routes/admin/+page.svelte; fiaq-app/src/routes/api/admin/candidates/+server.ts","Unauthenticated API guard plus mocked authorized browser UI.","tested","pass_mocked_ui","Unauthenticated /api/admin/candidates correctly returns 401; authorized UI could not use real Supabase locally.","Mocked browser retest confirmed Pendentes/Aprovadas/Rejeitadas tabs and candidate rendering.","pass_mocked_ui","qa-artifacts/2026-06-24-ui-user-stories/admin-mocked-results.json; qa-artifacts/2026-06-24-ui-user-stories/initial-results.json"
"US-028","Admin","Review candidate","Admin","As an admin I want to approve or reject a candidate answer with optional notes.","Pending candidate cards show question, answer, sources, notes textarea, approve/reject actions and success/error notice; approved writes to RAG.","fiaq-app/src/routes/admin/+page.svelte; fiaq-app/src/routes/api/admin/candidates/[id]/+server.ts","Browser with mocked authorized admin APIs.","tested","pass_mocked_ui","Review flow could not use real admin session/test candidate locally.","Added accessible aria-label/name/id to review notes textarea; mocked retest confirmed approve notice and PATCH call.","pass_mocked_ui","qa-artifacts/2026-06-24-ui-user-stories/admin-mocked-results.json"
"US-029","Admin","Invite another admin","Admin","As an admin I want to invite another administrator by email.","Invite form posts email to /api/admin/invites, clears the field on success, and shows clear errors without exposing secrets.","fiaq-app/src/routes/admin/+page.svelte; fiaq-app/src/routes/api/admin/invites/+server.ts","Browser with mocked authorized admin APIs.","tested","pass_mocked_ui","Invite flow could not use real admin session locally.","Added invite email label/name/autocomplete/spellcheck hints; mocked retest confirmed Convite enviado notice and POST call.","pass_mocked_ui","qa-artifacts/2026-06-24-ui-user-stories/admin-mocked-results.json"
"US-030","Admin","Realtime curation status","Admin","As an admin I want to know whether the curation queue is receiving live updates.","Realtime badge shows connected/connecting/slow/error/closed, includes last sync time using Intl, and refreshes candidates after realtime changes.","fiaq-app/src/routes/admin/+page.svelte; fiaq-app/src/lib/utils/supabaseRealtime.ts","Browser with mocked admin UI and fake Supabase endpoint.","tested","pass_mocked_ui","Realtime admin flow could not connect to a real Supabase realtime channel locally.","Mocked authorized UI showed Tempo real badge and handled realtime error state without breaking the page.","pass_mocked_ui","qa-artifacts/2026-06-24-ui-user-stories/admin-mocked-tabs-review-invite-mobile.png"
"US-031","API","FAQ endpoint","Client app","As the frontend I need /api/faq to provide categories and items for home and FAQ pages.","GET /api/faq returns a category array from DB or fallback JSON and does not crash when DB is unavailable.","fiaq-app/src/routes/api/faq/+server.ts; fiaq-app/server/repositorios/faq.ts","API curl and page render.","tested","pass","No endpoint error found.","No code change in this pass.","pass","qa-artifacts/2026-06-24-ui-user-stories/initial-results.json"
"US-032","API","DB health endpoint","Operator","As an operator I want to verify database connectivity quickly.","GET /api/health/db returns ok/configured/latency when configured and a clear configured=false state otherwise.","fiaq-app/src/routes/api/health/db/+server.ts","API curl.","tested","pass","Endpoint returned 200 ok/configured true in current env.","No code change in this pass.","pass","qa-artifacts/2026-06-24-ui-user-stories/initial-results.json"
"US-033","API","Trending questions endpoint","Client app","As the app I want an API for frequent questions metrics.","GET /api/perguntas/em-alta returns aggregated anonymous questions for future UI use without exposing personal data.","fiaq-app/src/routes/api/perguntas/em-alta/+server.ts; fiaq-app/server/repositorios/pergunta.ts","API curl/code review.","tested","pass","Endpoint returned 200 with aggregate items.","No code change in this pass.","pass","qa-artifacts/2026-06-24-ui-user-stories/initial-results.json"
"US-034","Platform","SvelteKit and shadcn baseline","Developer","As a developer I want the app to run on SvelteKit/Vite with shadcn-svelte components.","No legacy framework/server config/imports remain, SvelteKit/Vite build works, shadcn-svelte components live in src/lib/components/ui, and core buttons/inputs/textareas use shadcn wrappers.","fiaq-app/vite.config.ts; fiaq-app/svelte.config.js; fiaq-app/components.json; fiaq-app/src/lib/components/ui; fiaq-app/package.json","rg scans plus lint/typecheck/build.","tested","pass","No legacy framework/server imports in app code; LICENSE now names fIAq contributors.","Updated shadcn Button base to remove transition-all while preserving focus styles.","pass","pnpm lint; pnpm typecheck; NODE_OPTIONS=--max-old-space-size=4096 pnpm build"
"US-035","Accessibility/UI","Global visual and interaction quality","Visitor","As any user I want consistent buttons, fonts, focus states, touch targets and readable copy across the app.","Primary/secondary/destructive actions are visually consistent, font scale is readable, icon-only controls have aria-label/title, motion respects preferences, and layouts avoid card nesting/overflow.","fiaq-app/src/**/*.svelte; fiaq-app/src/app.css","Static guidelines scan plus browser screenshots at mobile and desktop widths.","tested","pass_with_mocked_admin","Initial scan found transition-all, three-dot placeholders, unlabeled composer, missing image dimensions, FAQ clipping and chat action overlap.","Fixed and retested public/chat UI issues plus copy/export/feedback/import/clear/jump. Admin UX was retested with mocked auth/API because real local Supabase env is absent.","pass_with_mocked_admin","qa-artifacts/2026-06-24-ui-user-stories/initial-results.json; qa-artifacts/2026-06-24-ui-user-stories/retest-results.json; qa-artifacts/2026-06-24-ui-user-stories/deep-flow-results.json; qa-artifacts/2026-06-24-ui-user-stories/admin-mocked-results.json"
"US-036","Deployment","Production parity","Operator","As an operator I want the public production URL to match the tested worktree before this UI QA is considered fully done.","Production /admin and public routes should reflect the current Vite/shadcn UI fixes after an approved deploy, including admin field labels/names and current accessibility fixes.","fiaq-app/vercel.json; https://fiaq-app.vercel.app/admin","Browser: production logged-out admin smoke test.","tested","pending_deploy","Production APIs are healthy, but production /admin still reflects an older deployment: email/password inputs lack the local fixes for id/name/labels. No deploy was performed because pushing/deploying main requires explicit approval.","Local code already fixes the issue; deploy production after approval, then rerun production smoke and authenticated admin test with safe credentials.","pending_deploy","qa-artifacts/2026-06-24-ui-user-stories/production-admin-logged-out-results.json; qa-artifacts/2026-06-24-ui-user-stories/production-admin-logged-out-mobile.png; qa-artifacts/2026-06-24-ui-user-stories/production-admin-logged-out-latest-results.json; qa-artifacts/2026-06-24-ui-user-stories/production-admin-logged-out-mobile-latest.png"
"US-037","Chat","LLM failure handling","Visitor","As a visitor I want the chat to explain what happened when verified sources are found but the answer generator fails.","When /api/chat sends an LLM_UNAVAILABLE SSE event after sources, the assistant keeps the verified sources visible and shows a specific retry-oriented message instead of a generic processing error.","fiaq-app/src/lib/stores/fiaq-chat.ts; fiaq-app/src/routes/api/chat/+server.ts","Browser: Playwright route mocked /api/chat SSE with sources plus LLM_UNAVAILABLE on mobile viewport.","tested","pass","The previous UI displayed a generic processing error that made it look like the whole request failed even though sources were already available.","Replaced the generic fallback with a specific message for unavailable generation and a connection-specific send failure message.","pass","qa-artifacts/2026-06-24-ui-user-stories/chat-llm-unavailable-mobile.png"
"US-038","Platform","Production build preview","Operator","As an operator I want the SvelteKit production build to serve public routes and API routes locally before deploy.","The built app served by Vite preview should render core routes and answer health/FAQ API requests without visual accessibility regressions or route errors.","fiaq-app/svelte.config.js; fiaq-app/src/routes; fiaq-app/vercel.json","Production preview server plus Playwright sweep across mobile and desktop for /, /chatbot, /sobre, /faq/matricula, /faq/estrutura-curricular, /contatos/cic and /admin.","tested","pass","No preview-only error found. API health/db returned ok/configured true and /api/faq returned 200 application/json.","No code change required after the preview sweep.","pass","qa-artifacts/2026-06-24-ui-user-stories/preview-production-sweep/results.json"
"US-039","Admin/API","Protected admin API guard","Operator","As an operator I want admin-only endpoints to reject unauthenticated requests before exposing admin data or actions.","GET /api/admin/me, GET /api/admin/candidates, PATCH /api/admin/candidates/:id and POST /api/admin/invites must return 401 AUTH_REQUIRED without a valid bearer token.","fiaq-app/src/routes/api/admin/me/+server.ts; fiaq-app/src/lib/server/admin-auth.ts; fiaq-app/src/routes/api/admin/candidates/+server.ts; fiaq-app/src/routes/api/admin/candidates/[id]/+server.ts; fiaq-app/src/routes/api/admin/invites/+server.ts","API curl without Authorization header on local dev server.","tested","pass","/api/admin/me was not tracked as an explicit user story even though it gates the admin UI.","Added explicit coverage for unauthenticated admin API behavior; all checked endpoints returned 401 AUTH_REQUIRED.","pass","qa-artifacts/2026-06-24-ui-user-stories/admin-api-guard-results.json"
"US-040","SEO","Page metadata","Visitor","As a visitor or search/social crawler I want pages to publish accurate titles and descriptions.","Home/chatbot should keep the default fIAq metadata, and Sobre, FAQ category and contact pages should update document title, description, Open Graph title/description and Twitter card.","fiaq-app/src/routes/+layout.svelte; fiaq-app/src/app.html; fiaq-app/src/routes/sobre/+page.svelte; fiaq-app/src/routes/faq/[slug]/+page.svelte; fiaq-app/src/routes/contatos/[slug]/+page.svelte","Playwright read document title and meta tags for /, /chatbot, /sobre, /faq/matricula and /contatos/cic.","tested","pass","SEO metadata existed in code but was not independently tracked in the canonical feature spreadsheet.","Recorded metadata behavior and verified dynamic route metadata with the real CIC contact slug.","pass","qa-artifacts/2026-06-24-ui-user-stories/seo-markdown-results.json"
"US-041","Chat","Safe assistant Markdown rendering","Visitor","As a visitor I want assistant responses to keep useful formatting without exposing raw links, numeric citation clutter or unsafe HTML.","Markdown from the assistant should render bold/lists/paragraphs, strip inline/raw links and numeric citation sections from the visible answer, sanitize script HTML, and keep verified sources in source chips.","fiaq-app/src/lib/utils/markdown.ts; fiaq-app/src/lib/utils/assistantText.ts; fiaq-app/src/lib/components/chat/MessageBubble.svelte; fiaq-app/src/lib/components/chat/SourceChip.svelte","Playwright mocked /api/chat SSE with markdown, inline link, numeric citation section and script HTML.","tested","pass","Safe Markdown rendering was partially covered by source-chip tests but not documented as its own behavior.","Added explicit test showing the unsafe script is not executed/rendered, citation markers are removed, raw link text is absent, and the source chip stays visible.","pass","qa-artifacts/2026-06-24-ui-user-stories/seo-markdown-results.json; qa-artifacts/2026-06-24-ui-user-stories/markdown-sanitization-mobile.png"
"US-042","Platform","Vercel SvelteKit adapter","Operator","As an operator I want Vercel to route all /api/* requests through SvelteKit server routes.","SvelteKit should own /api/* through src/routes/api/**/+server.ts, use adapter-vercel, and keep chat streaming/admin APIs compatible with production functions.","fiaq-app/src/routes/api/**/+server.ts; fiaq-app/svelte.config.js; fiaq-app/vercel.json","SvelteKit build plus TypeScript server route check.","tested","pass","The previous catch-all adapter was removed during the SvelteKit port.","Verified server routes compile and Vercel config uses framework sveltekit.","pass","qa-artifacts/2026-06-24-ui-user-stories/operational-scripts-results.json"
"US-043","Platform","Root package command forwarding","Developer","As a developer I want root-level pnpm commands to operate the SvelteKit app in fiaq-app without remembering the subdirectory.","Root package scripts should forward dev/build/preview/lint/typecheck and knowledge commands into fiaq-app, preserving the repository root as the normal operator entry point.","package.json; fiaq-app/package.json","Package manifest review plus repeated successful root pnpm lint/typecheck/build/build:faq commands.","tested","pass","Root command forwarding is documented as part of the SvelteKit migration.","Validated root command mapping and re-ran root lint/typecheck/build/build:faq successfully.","pass","qa-artifacts/2026-06-24-ui-user-stories/operational-scripts-results.json"
"US-044","Knowledge Ops","FAQ source generator","Maintainer","As a maintainer I want Markdown FAQ sources to regenerate stable JSON files for the FAQ and RAG pipeline.","pnpm build:faq should parse data/sources/faq-cic-unb/secoes into data/faq/faq-*.json, preserve unique IDs and produce reproducible output without unrelated diffs.","fiaq-app/scripts/build-faq.mjs; fiaq-app/data/sources/faq-cic-unb/secoes; fiaq-app/data/faq","Executed pnpm build:faq and checked git diff for generated FAQ/source files.","tested","pass","FAQ generation was used by the app but not explicitly tracked as a user story.","build:faq generated 85 entries in 7 files and git diff showed no generated FAQ/source changes.","pass","qa-artifacts/2026-06-24-ui-user-stories/operational-scripts-results.json"
"US-045","Knowledge Ops","Knowledge maintenance scripts and provider smoke guards","Maintainer","As a maintainer I want RAG indexing, crawling, seeding and provider smoke scripts to be syntactically valid and stop safely when required credentials are absent.","Operational scripts should parse successfully; DB-writing seeds should refuse to run without DATABASE_URL; OpenRouter smoke should refuse to run without OPENROUTER_API_KEY; network/DB-writing full runs require explicit operator credentials.","fiaq-app/scripts/build-rag-index.mjs; fiaq-app/scripts/fetch-links.mjs; fiaq-app/scripts/discover-unb-sources.mjs; fiaq-app/scripts/research-unb-browser-use.py; fiaq-app/scripts/seed-faq.mjs; fiaq-app/scripts/seed-knowledge.mjs; fiaq-app/scripts/test-openrouter.mjs","node --check for .mjs scripts, python py_compile for browser-use script, guarded executions with blank DATABASE_URL/OPENROUTER_API_KEY.","tested","pass_guarded","Knowledge maintenance scripts were not explicitly represented in the feature spreadsheet; full crawl/seed/provider runs can have external side effects.","Added syntax and missing-env guard tests while intentionally avoiding real external crawls, production database writes and provider quota usage.","pass_guarded","qa-artifacts/2026-06-24-ui-user-stories/operational-scripts-results.json"
"US-046","Platform","SvelteKit migration regression","Developer","As a maintainer I want the post-migration app to preserve public, chat, FAQ, contact and admin behavior while running on SvelteKit/TanStack/shadcn-svelte.","Preview routes render in mobile and desktop without 500s or horizontal overflow; Saruê assets load; /api/health/db, /api/faq, /api/perguntas/em-alta and admin guards work; real /api/chat SSE emits sources, tokens and done; mocked browser chat, FAQ accordion, brand link and contacts drawer flows pass.","fiaq-app/src/routes/**; fiaq-app/src/lib/components/**; fiaq-app/src/lib/stores/fiaq-chat.ts; fiaq-app/server/utils/llmProvider.ts; fiaq-app/svelte.config.js; fiaq-app/vercel.json","pnpm lint; pnpm typecheck; NODE_OPTIONS=--max-old-space-size=4096 pnpm build; Vite preview; curl endpoints; Playwright mobile/desktop sweep and mocked SSE UI flows.","tested","pass","Initial SvelteKit preview exposed SSR window access on /chatbot, public assets were not served from public/, OpenRouter empty heartbeat could hang before fallback, and the contacts drawer did not close on Escape without focus.","Guarded browser-only cleanup in chat components, configured SvelteKit assets to use public/, made OpenRouter stream timeout reset only on useful content, and registered a document Escape handler/focus for the drawer.","pass","qa-artifacts/2026-06-24-sveltekit-migration/results.json; /tmp/fiaq-chat-sse-final.log"
